Xc	Yc
330	1.624
331	1.579
332	1.602
333	1.536
334	1.555
335	1.497
336	1.509
337	1.553
338	1.461
339	1.479
340	1.459
341	1.449
342	1.468
343	1.451
344	1.483
345	1.436
346	1.438
347	1.418
348	1.390
349	1.393
350	1.401
351	1.376
352	1.348
353	1.339
354	1.335
355	1.357
356	1.336
357	1.328
358	1.334
359	1.310
360	1.297
361	1.314
362	1.278
363	1.280
364	1.260
365	1.267
366	1.258
367	1.263
368	1.251
369	1.244
370	1.257
371	1.234
372	1.212
373	1.210
374	1.208
375	1.226
376	1.203
377	1.199
378	1.200
379	1.195
380	1.189
381	1.177
382	1.168
383	1.177
384	1.165
385	1.158
386	1.160
387	1.160
388	1.151
389	1.154
390	1.136
391	1.135
392	1.129
393	1.136
394	1.126
395	1.121
396	1.113
397	1.118
398	1.112
399	1.113
400	1.106
401	1.104
402	1.102
403	1.101
404	1.089
405	1.094
406	1.092
407	1.088
408	1.082
409	1.083
410	1.073
411	1.075
412	1.073
413	1.073
414	1.070
415	1.066
416	1.063
417	1.064
418	1.069
419	1.060
420	1.062
421	1.053
422	1.052
423	1.050
424	1.051
425	1.053
426	1.049
427	1.051
428	1.045
429	1.048
430	1.048
431	1.046
432	1.044
433	1.044
434	1.043
435	1.048
436	1.046
437	1.040
438	1.036
439	1.036
440	1.033
441	1.042
442	1.039
443	1.039
444	1.038
445	1.041
446	1.043
447	1.040
448	1.042
449	1.047
450	1.040
451	1.045
452	1.050
453	1.047
454	1.044
455	1.051
456	1.050
457	1.053
458	1.051
459	1.051
460	1.054
461	1.059
462	1.047
463	1.045
464	1.045
465	1.046
466	1.047
467	1.045
468	1.041
469	1.037
470	1.037
471	1.032
472	1.022
473	1.023
474	1.021
475	1.018
476	1.025
477	1.027
478	1.022
479	1.023
480	1.016
481	1.017
482	1.012
483	1.007
484	1.013
485	1.009
486	1.011
487	1.014
488	1.015
489	1.011
490	1.012
491	1.008
492	1.010
493	1.006
494	1.005
495	1.005
496	1.002
497	1.006
498	1.008
499	1.000
500	1.000
501	1.004
502	1.003
503	1.008
504	1.006
505	1.003
506	1.001
507	1.000
508	1.002
509	0.999
510	1.007
511	0.997
512	0.998
513	1.001
514	1.003
515	1.005
516	1.002
517	0.998
518	1.003
519	0.999
520	1.001
521	1.006
522	1.003
523	0.997
524	1.002
525	0.998
526	1.000
527	1.004
528	1.009
529	1.003
530	1.011
531	1.002
532	1.004
533	1.002
534	1.005
535	1.004
536	1.006
537	1.009
538	1.005
539	1.007
540	1.008
541	1.007
542	1.007
543	1.002
544	1.007
545	1.006
546	1.009
547	1.012
548	1.008
549	1.010
550	1.012
551	1.012
552	1.010
553	1.005
554	1.013
555	1.011
556	1.012
557	1.019
558	1.016
559	1.016
560	1.015
561	1.013
562	1.016
563	1.016
564	1.019
565	1.016
566	1.015
567	1.023
568	1.021
569	1.023
570	1.019
571	1.024
572	1.022
573	1.021
574	1.024
575	1.020
576	1.018
577	1.023
578	1.025
579	1.028
580	1.026
581	1.027
582	1.021
583	1.020
584	1.026
585	1.031
586	1.032
587	1.030
588	1.032
589	1.023
590	1.034
591	1.025
592	1.034
593	1.035
594	1.037
595	1.032
596	1.039
597	1.033
598	1.041
599	1.036
600	1.037
601	1.033
602	1.033
603	1.039
604	1.034
605	1.040
606	1.039
607	1.041
608	1.045
609	1.037
610	1.038
611	1.042
612	1.041
613	1.042
614	1.043
615	1.043
616	1.046
617	1.044
618	1.040
619	1.049
620	1.047
621	1.049
622	1.044
623	1.040
624	1.043
625	1.045
626	1.047
627	1.055
628	1.054
629	1.045
630	1.048
631	1.053
632	1.055
633	1.042
634	1.047
635	1.057
636	1.039
637	1.049
638	1.042
639	1.045
640	1.046
641	1.042
642	1.042
643	1.041
644	1.046
645	1.051
646	1.048
647	1.053
648	1.050
649	1.039
650	1.040
651	1.042
652	1.041
653	1.046
654	1.041
655	1.043
656	1.049
657	1.035
658	1.044
659	1.046
660	1.039
661	1.049
662	1.040
663	1.049
664	1.048
665	1.046
666	1.052
667	1.053
668	1.045
669	1.050
670	1.044
671	1.050
672	1.044
673	1.046
674	1.052
675	1.050
676	1.042
677	1.049
678	1.049
679	1.056
680	1.049
681	1.045
682	1.046
683	1.053
684	1.045
685	1.049
686	1.052
687	1.055
688	1.046
689	1.052
690	1.057
691	1.054
692	1.048
693	1.055
694	1.047
695	1.048
696	1.052
697	1.052
698	1.058
699	1.046
700	1.058
701	1.065
702	1.056
703	1.046
704	1.047
705	1.052
706	1.047
707	1.056
708	1.055
709	1.060
710	1.053
711	1.060
712	1.058
713	1.059
714	1.061
715	1.050
716	1.057
717	1.053
718	1.059
719	1.051
720	1.054
721	1.062
722	1.056
723	1.062
724	1.063
725	1.062
726	1.056
727	1.060
728	1.046
729	1.055
730	1.046
731	1.054
732	1.058
733	1.060
734	1.056
735	1.063
736	1.053
737	1.057
738	1.055
739	1.060
740	1.052
741	1.053
742	1.054
743	1.054
744	1.049
745	1.055
746	1.062
747	1.053
748	1.050
749	1.048
750	1.053
751	1.051
752	1.044
753	1.053
754	1.045
755	1.045
756	1.049
757	1.056
758	1.055
759	1.049
760	1.054
761	1.054
762	1.054
763	1.050
764	1.052
765	1.043
766	1.048
767	1.050
768	1.043
769	1.050
770	1.044
771	1.039
772	1.032
773	1.044
774	1.047
775	1.034
776	1.043
777	1.042
778	1.041
779	1.046
780	1.044
781	1.034
782	1.037
783	1.035
784	1.041
785	1.031
786	1.042
787	1.043
788	1.036
789	1.038
790	1.036
791	1.040
792	1.036
793	1.031
794	1.035
795	1.025
796	1.046
797	1.040
798	1.034
799	1.029
800	1.034
801	1.027
802	1.028
803	1.027
804	1.034
805	1.032
806	1.021
807	1.032
808	1.029
809	1.032
810	1.029
811	1.031
812	1.035
813	1.013
814	1.039
815	1.026
816	1.036
817	1.035
818	1.029
819	1.025
820	1.034
821	1.027
822	1.028
823	1.037
824	1.025
825	1.039
826	1.024
827	1.016
828	1.022
829	1.018
830	1.034
831	1.020
832	1.008
833	1.038
834	1.024
835	1.020
836	1.017
837	1.030
838	1.011
839	1.043
840	1.025
841	1.027
842	1.027
843	1.017
844	1.029
845	1.034
846	1.032
847	1.064
848	1.050
849	1.034
850	1.067
